Title: Stellar Encounter Rate In Galactic Globular Clusters 
Authors: Bahramian A., Heinke C.O., Sivakoff G.R., Gladstone J.C. 
Table: The {Gamma} values of the GCs
================================================================================
Byte-by-byte Description of file: apj463481t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label   Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---         Name    Globular cluster identification (1)
   9- 12 F4.2   mag         E(B-V)  Foreground reddening
  14- 17 F4.2   mag       e_E(B-V)  Uncertainty in E(B-V)
  19- 23 F5.2   mag         m-M     Visual distance modulus
  25- 27 F3.1   mag       e_m-M     Uncertainty in m-M
  29- 34 F6.2   kpc         Dis     Distance
  36- 40 F5.2   km/s        sigma   Velocity dispersion
  42- 45 F4.2   km/s      e_sigma   Uncertainty in sigma
      47 A1     ---       r_sigma   Reference for sigma (2)
      49 A1     ---         Ref     Reference for surface brightness profile (3)
  51- 52 A2     ---         CC      Core collapsed cluster flag (4)
  54- 57 F4.2   mag/arcsec2 dSB     Assumed uncertainty in surface
                                     brightness profile
  59- 66 E8.2   ---         Gamma   Calculated stellar encounter rate (5)
  68- 75 E8.2   ---       e_Gamma   Lower bound on Gamma
  77- 84 E8.2   ---       E_Gamma   Upper bound on Gamma
--------------------------------------------------------------------------------
Note (1): 
- For Terzan5, Extinction calculation based on Massari et al 2012. To calculate
  A_v_ based on this value, we used R_v_ = 2.83; although for the rest we 
  assumed R_v_ = 3.1
- For Terzan7, we ignored data points in the region log(r") > 1.9 as there were
  non-physical fluctuations probably due to high order of the Chebyshev fit
- For Palomar 10, Terzan 7 and Ton 2, profiles from T95 are uncalibrated. 
  Following McLaughlin & van der Marel 2005, we calibrated those by assuming 
  that their values of surface brightness for the center is equal to the 
  central surface brightness values from HC
- For NGC7492 and NGC5946, the reported uncertainties from HC on sigma are more
  than 50%. So for these two, we truncated the sigma distribution at 1 delta 
  instead.
Note (2): 
    g = Gnedin et al. (2002);
    h = Harris Catalog.
Note (3):
    l = Lanzoni et al (2010);
    n = Noyola & Gebhardt (2006);
    t = Trager et al. (1995).
Note (4): 
    c = a core collapsed cluster (from Harris Catalog).
Note (5): Normalization: Assumed 1000 for ngc104.  Table sorted from highest
          Gamma to lowest.
--------------------------------------------------------------------------------
terzan5 2.61 0.1  21.27 0.2   5.98  8.06 2.58 g l    0.2  6.80E+03 3.78E+03 7.84E+03 
ngc7078 0.1  0.02 15.39 0.1  10.38 13.5  0.9  h n c  0.14 4.51E+03 3.52E+03 5.87E+03 
ngc6715 0.15 0.02 17.58 0.1  26.49 10.5  0.3  h n    0.03 2.52E+03 2.25E+03 2.75E+03 
terzan6 2.35 0.35 21.44 0.1   6.78  5.27 1.69 g t c  0.1  2.47E+03 7.53E+02 7.54E+03 
ngc6441 0.47 0.07 16.78 0.1  11.6  18.   0.2  h n    0.1  2.30E+03 1.66E+03 3.27E+03 
ngc6266 0.47 0.07 15.63 0.1   6.83 14.3  0.4  h n c: 0.16 1.67E+03 1.10E+03 2.38E+03 
ngc1851 0.02 0.01 15.47 0.1  12.07 10.4  0.5  h n    0.06 1.53E+03 1.34E+03 1.73E+03 
ngc6440 1.07 0.16 17.95 0.1   8.45 13.71 4.39 g t    0.11 1.40E+03 9.23E+02 2.03E+03 
ngc6624 0.28 0.04 15.36 0.1   7.91  5.4  0.5  h n c  0.06 1.15E+03 9.72E+02 1.26E+03 
ngc6681 0.07 0.01 14.99 0.1   9.01  5.2  0.5  h n c  0.12 1.04E+03 8.48E+02 1.31E+03 
ngc104  0.04 0.01 13.37 0.1   4.46 11.   0.3  h n    0.08 1.00E+03 8.66E+02 1.15E+03 
ngc5824 0.13 0.02 17.94 0.1  32.17 11.6  0.5  h n    0.1  9.84E+02 8.29E+02 1.16E+03 
pal_2   1.24 0.19 21.01 0.1  27.11  4.7  1.5  g t    0.36 9.29E+02 3.74E+02 1.77E+03 
ngc2808 0.22 0.03 15.59 0.1   9.59 13.4  1.2  h n    0.03 9.23E+02 8.40E+02 9.90E+02 
ngc6388 0.37 0.06 16.13 0.1   9.92 18.9  0.8  h n    0.1  8.99E+02 6.86E+02 1.14E+03 
ngc6293 0.36 0.05 16.   0.1   9.48  7.7  1.3  h n c  0.2  8.47E+02 6.08E+02 1.22E+03 
ngc362  0.05 0.01 14.83 0.1   8.61  6.4  0.3  h t c: 0.1  7.35E+02 6.18E+02 8.72E+02 
ngc6652 0.09 0.01 15.28 0.1  10.    5.9  1.89 g n    0.11 7.00E+02 5.11E+02 9.92E+02 
ngc6284 0.28 0.04 16.79 0.1  15.29  6.3  0.9  h n c  0.08 6.66E+02 5.61E+02 7.88E+02 
ngc6626 0.4  0.06 14.95 0.1   5.52  8.6  1.3  h n    0.05 6.48E+02 5.57E+02 7.32E+02 
ngc6093 0.18 0.03 15.56 0.1  10.01 12.4  0.6  h n    0.05 5.32E+02 4.63E+02 5.91E+02 
ngc7089 0.06 0.01 15.5  0.1  11.56  8.2  0.6  h n    0.07 5.18E+02 4.47E+02 5.96E+02 
ngc5286 0.24 0.04 16.08 0.1  11.67  8.1  1.   h n    0.07 4.58E+02 3.97E+02 5.16E+02 
ngc6752 0.04 0.01 13.13 0.1   3.99  4.9  0.4  h n c  0.21 4.01E+02 2.75E+02 5.83E+02 
ngc6541 0.14 0.02 14.82 0.1   7.54  8.2  2.1  h n c: 0.07 3.86E+02 3.23E+02 4.81E+02 
ngc6453 0.64 0.1  17.3  0.1  11.57  3.05 0.98 g t c  0.15 3.71E+02 2.82E+02 4.99E+02 
ngc6522 0.48 0.07 15.92 0.1   7.7   6.7  0.7  h t c  0.14 3.63E+02 2.64E+02 4.76E+02 
ngc6517 1.08 0.16 18.48 0.1  10.63 13.08 4.18 g t    0.1  3.38E+02 2.40E+02 4.90E+02 
ngc7099 0.03 0.01 14.64 0.1   8.12  5.5  0.4  h n c  0.18 3.24E+02 2.43E+02 4.48E+02 
ngc6864 0.16 0.02 17.09 0.1  20.84 10.3  1.5  h t    0.14 3.07E+02 2.25E+02 4.02E+02 
ngc6139 0.75 0.11 17.35 0.1  10.12  9.33 2.99 g t    0.14 3.07E+02 2.18E+02 4.01E+02 
ngc6528 0.54 0.08 16.17 0.1   7.93  3.81 1.22 g n    0.14 2.78E+02 2.29E+02 3.92E+02 
ngc6341 0.02 0.01 14.65 0.1   8.27  6.   0.4  h n    0.06 2.70E+02 2.41E+02 3.00E+02 
ngc6273 0.38 0.06 15.9  0.1   8.8   9.71 3.11 g t    0.12 2.00E+02 1.61E+02 2.67E+02 
ngc5272 0.01 0.01 15.07 0.1  10.18  5.5  0.3  h n    0.06 1.94E+02 1.76E+02 2.27E+02 
ngc5694 0.09 0.01 18.   0.1  35.01  5.8  0.8  h n    0.11 1.91E+02 1.57E+02 2.43E+02 
ngc6256 1.09 0.16 18.44 0.1  10.28  6.6  2.6  h t c  0.2  1.69E+02 1.09E+02 2.88E+02 
ngc5904 0.03 0.01 14.46 0.1   7.47  5.5  0.4  h n    0.12 1.64E+02 1.34E+02 2.03E+02 
ngc6638 0.41 0.06 16.14 0.1   9.41  4.95 1.58 g t    0.11 1.37E+02 1.10E+02 1.76E+02 
ngc5946 0.54 0.08 16.79 0.1  10.55  4.   2.9  h t c  0.14 1.34E+02 8.94E+01 1.68E+02 
ngc6333 0.38 0.06 15.67 0.1   7.91  6.86 2.19 g n    0.22 1.31E+02 8.92E+01 1.90E+02 
ngc6402 0.6  0.09 16.69 0.1   9.25  6.41 2.05 g t    0.14 1.24E+02 9.38E+01 1.56E+02 
ngc6304 0.54 0.08 15.52 0.1   5.88  6.09 1.95 g t    0.15 1.23E+02 1.01E+02 1.77E+02 
ngc6325 0.91 0.14 17.29 0.1   7.83  5.9  1.3  h t c  0.16 1.18E+02 7.24E+01 1.63E+02 
ngc6380 1.17 0.18 18.81 0.1  10.88  4.63 1.48 g t c: 0.17 1.16E+02 7.13E+01 1.84E+02 
ngc1904 0.01 0.01 15.59 0.1  12.94  5.3  0.4  h n c: 0.08 1.16E+02 1.02E+02 1.35E+02 
ngc6544 0.76 0.11 14.71 0.1   2.96 15.24 4.88 g t c: 0.21 1.11E+02 7.45E+01 1.79E+02 
ngc6558 0.44 0.07 15.7  0.1   7.37  3.1  0.9  h t c  0.12 1.05E+02 8.57E+01 1.31E+02 
ngc6355 0.77 0.12 17.21 0.1   9.22  5.52 1.77 g t c  0.16 9.92E+01 7.35E+01 1.40E+02 
